Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Price,Discount,Profit,Actual Return,Return_Reason,Return_Status,Return_Type,Refund_Amount,Order_Date,Return_Date,Return_Delay_Days,Return_Flag,Predicted_Return,Predicted_Return_Probabilty,Return_Risk,probabilty in %,Discount in % 
1,CA-2016-152156,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,130.98,0,41.9136,Yes,Product Quality is poor,Received,Refund Only,261.96,27-01-2023,03-02-2023,7,1,0,0.436673862,Medium,43.66738619,0
2,CA-2016-152156,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,243.98,0,219.582,Yes,Expectation not fulfilled,Approved,Refund Only,731.94,19-06-2023,03-07-2023,14,1,0,0.414484342,Medium,41.44843421,0
3,CA-2016-138688,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,7.31,0,6.8714,No,N/A,No,N/A,0,19-10-2023,0,0,0,0,0.399945881,Low,39.99458811,0
4,US-2015-108966,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,191.5155,0.45,-383.031,No,N/A,No,N/A,0,27-11-2023,0,0,0,0,0.230617504,Low,23.06175041,45
5,US-2015-108966,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,11.184,0.2,2.5164,Yes,Changed mind,Received,Refund Only,22.368,09-09-2023,11-09-2023,2,1,1,0.492361662,Medium,49.23616624,20
6,CA-2014-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,6.98,0,14.1694,Yes,Changed mind,Received,Refund Only,48.86,08-10-2023,12-10-2023,4,1,1,0.530568856,Medium,53.0568856,0
7,CA-2014-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,1.82,0,1.9656,No,N/A,No,N/A,0,04-02-2023,0,0,0,0,0.374027806,Low,37.40278065,0
8,CA-2014-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,151.192,0.2,90.7152,No,N/A,No,N/A,0,24-12-2023,0,0,0,0,0.481022306,Medium,48.10223065,20
9,CA-2014-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,6.168,0.2,5.7825,No,N/A,No,N/A,0,02-01-2023,0,0,0,1,0.521061596,Medium,52.10615959,20
10,CA-2014-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,22.98,0,34.47,No,N/A,No,N/A,0,11-04-2023,0,0,0,1,0.537499668,Medium,53.74996679,0
11,CA-2014-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,189.576,0.2,85.3092,No,N/A,No,N/A,0,05-11-2023,0,0,0,0,0.349806023,Low,34.9806023,20
12,CA-2014-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,227.856,0.2,68.3568,No,N/A,No,N/A,0,21-06-2023,0,0,0,1,0.490174428,Medium,49.01744275,20
13,CA-2017-114412,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,5.184,0.2,5.4432,No,N/A,No,N/A,0,15-03-2023,0,0,0,0,0.395741918,Low,39.57419183,20
14,CA-2016-161389,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,135.992,0.2,132.5922,Yes,Damaged product,Pending,Refund Only,407.976,03-01-2023,05-01-2023,2,1,0,0.464421058,Medium,46.44210581,20
15,US-2015-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,13.762,0.8,-123.858,Yes,Product Quality is poor,Approved,Exchange,68.81,23-06-2023,27-06-2023,4,1,1,0.50376557,Medium,50.37655695,80
16,US-2015-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.848,0.8,-3.816,Yes,Packaging is not good,Received,Exchange,2.544,11-04-2023,23-04-2023,12,1,0,0.396636978,Low,39.66369779,80
